epoch: 0	train ppl: 331.9553489404838	val ppl: 180.15111182279153	best val: 180.15111182279153	time (s) spent in epoch: 54.77672338485718
epoch: 1	train ppl: 127.51416214948307	val ppl: 141.20214428266613	best val: 141.20214428266613	time (s) spent in epoch: 54.77357792854309
epoch: 2	train ppl: 83.46490293078438	val ppl: 135.46750396171873	best val: 135.46750396171873	time (s) spent in epoch: 54.92956304550171
epoch: 3	train ppl: 60.60365781005699	val ppl: 140.25188997707528	best val: 135.46750396171873	time (s) spent in epoch: 54.96475124359131
epoch: 4	train ppl: 46.04151869864254	val ppl: 153.0719828001715	best val: 135.46750396171873	time (s) spent in epoch: 54.881184101104736
epoch: 5	train ppl: 35.96331757169085	val ppl: 171.25927594817136	best val: 135.46750396171873	time (s) spent in epoch: 54.937315464019775
epoch: 6	train ppl: 28.74551340875468	val ppl: 196.14107370829694	best val: 135.46750396171873	time (s) spent in epoch: 54.89961290359497
epoch: 7	train ppl: 23.329059600920566	val ppl: 225.25221760210903	best val: 135.46750396171873	time (s) spent in epoch: 54.92238807678223
epoch: 8	train ppl: 19.381014575253595	val ppl: 258.40581518110014	best val: 135.46750396171873	time (s) spent in epoch: 54.89782357215881
epoch: 9	train ppl: 16.353271715934124	val ppl: 298.39443928818133	best val: 135.46750396171873	time (s) spent in epoch: 54.611361503601074
epoch: 10	train ppl: 14.03039989372775	val ppl: 345.0115591975556	best val: 135.46750396171873	time (s) spent in epoch: 54.3366584777832
epoch: 11	train ppl: 12.219025305937086	val ppl: 400.1286865442718	best val: 135.46750396171873	time (s) spent in epoch: 54.182902574539185
epoch: 12	train ppl: 10.809557109697215	val ppl: 458.44418574576645	best val: 135.46750396171873	time (s) spent in epoch: 54.22415471076965
epoch: 13	train ppl: 9.682595092154216	val ppl: 534.2935411530347	best val: 135.46750396171873	time (s) spent in epoch: 54.16249918937683
epoch: 14	train ppl: 8.765022845283932	val ppl: 615.8875210001158	best val: 135.46750396171873	time (s) spent in epoch: 54.11670899391174
epoch: 15	train ppl: 8.016715593971686	val ppl: 699.9033833630546	best val: 135.46750396171873	time (s) spent in epoch: 54.17658233642578
epoch: 16	train ppl: 7.389196439583872	val ppl: 791.4731022477209	best val: 135.46750396171873	time (s) spent in epoch: 54.181864976882935
epoch: 17	train ppl: 6.867963266121621	val ppl: 888.3905239943414	best val: 135.46750396171873	time (s) spent in epoch: 54.32131624221802
epoch: 18	train ppl: 6.43604667282963	val ppl: 997.837150530171	best val: 135.46750396171873	time (s) spent in epoch: 54.185657024383545
epoch: 19	train ppl: 6.038416261269504	val ppl: 1118.7475197514632	best val: 135.46750396171873	time (s) spent in epoch: 54.287166118621826
epoch: 20	train ppl: 5.716757005339571	val ppl: 1225.775506573539	best val: 135.46750396171873	time (s) spent in epoch: 54.10039734840393
epoch: 21	train ppl: 5.434294367786851	val ppl: 1352.2939914691988	best val: 135.46750396171873	time (s) spent in epoch: 54.08828043937683
epoch: 22	train ppl: 5.183970964041333	val ppl: 1493.4875511568232	best val: 135.46750396171873	time (s) spent in epoch: 54.127957820892334
epoch: 23	train ppl: 4.9624664635566385	val ppl: 1664.0491776551792	best val: 135.46750396171873	time (s) spent in epoch: 54.17801022529602
epoch: 24	train ppl: 4.757012980587224	val ppl: 1860.0805815235035	best val: 135.46750396171873	time (s) spent in epoch: 54.450340270996094
epoch: 25	train ppl: 4.576954981028655	val ppl: 2040.2708292395423	best val: 135.46750396171873	time (s) spent in epoch: 54.27857947349548
epoch: 26	train ppl: 4.4162076234133165	val ppl: 2205.912878597958	best val: 135.46750396171873	time (s) spent in epoch: 54.14841175079346
epoch: 27	train ppl: 4.268886366129742	val ppl: 2395.7732035305453	best val: 135.46750396171873	time (s) spent in epoch: 54.16149878501892
epoch: 28	train ppl: 4.135420164208107	val ppl: 2557.130788790081	best val: 135.46750396171873	time (s) spent in epoch: 54.08002281188965
epoch: 29	train ppl: 4.007033795283448	val ppl: 2796.226882242042	best val: 135.46750396171873	time (s) spent in epoch: 54.06568384170532
epoch: 30	train ppl: 3.900100131440791	val ppl: 2903.3926934892384	best val: 135.46750396171873	time (s) spent in epoch: 54.55123543739319
epoch: 31	train ppl: 3.7945114059694407	val ppl: 3103.3189381727525	best val: 135.46750396171873	time (s) spent in epoch: 54.74721956253052
epoch: 32	train ppl: 3.699099334306535	val ppl: 3372.230182964941	best val: 135.46750396171873	time (s) spent in epoch: 54.81070566177368
epoch: 33	train ppl: 3.6097193117546995	val ppl: 3557.558433634901	best val: 135.46750396171873	time (s) spent in epoch: 54.71454930305481
epoch: 34	train ppl: 3.5359452883233207	val ppl: 3818.962962784319	best val: 135.46750396171873	time (s) spent in epoch: 54.37784433364868
epoch: 35	train ppl: 3.4650150611664374	val ppl: 4025.8696176411695	best val: 135.46750396171873	time (s) spent in epoch: 54.07541084289551
epoch: 36	train ppl: 3.3841634817529007	val ppl: 4350.182769973937	best val: 135.46750396171873	time (s) spent in epoch: 54.03458094596863
epoch: 37	train ppl: 3.3214735962901223	val ppl: 4615.936470856251	best val: 135.46750396171873	time (s) spent in epoch: 54.09611773490906
epoch: 38	train ppl: 3.252063570078032	val ppl: 4885.250671828361	best val: 135.46750396171873	time (s) spent in epoch: 54.094199895858765
epoch: 39	train ppl: 3.1992742633851865	val ppl: 5082.573019346826	best val: 135.46750396171873	time (s) spent in epoch: 54.0824031829834
