epoch: 0	train ppl: 91491.09384808395	val ppl: 2451.1260535009546	best val: 2451.1260535009546	time (s) spent in epoch: 159.62582850456238
epoch: 1	train ppl: 1587.4385376990529	val ppl: 817.1126676561428	best val: 817.1126676561428	time (s) spent in epoch: 159.63413977622986
epoch: 2	train ppl: 537.8029871855281	val ppl: 272.7099588740502	best val: 272.7099588740502	time (s) spent in epoch: 159.44405388832092
epoch: 3	train ppl: 194.9319665339296	val ppl: 136.6766051827096	best val: 136.6766051827096	time (s) spent in epoch: 159.25229907035828
epoch: 4	train ppl: 115.69366287235673	val ppl: 99.63317648411417	best val: 99.63317648411417	time (s) spent in epoch: 159.17149257659912
epoch: 5	train ppl: 89.07783749798577	val ppl: 86.84934027180088	best val: 86.84934027180088	time (s) spent in epoch: 159.20236349105835
epoch: 6	train ppl: 76.53459693422343	val ppl: 87.29205414568553	best val: 86.84934027180088	time (s) spent in epoch: 159.13249945640564
epoch: 7	train ppl: 68.15769656227943	val ppl: 79.12660744574211	best val: 79.12660744574211	time (s) spent in epoch: 159.090074300766
epoch: 8	train ppl: 60.25177356277349	val ppl: 65.87416204441351	best val: 65.87416204441351	time (s) spent in epoch: 159.21743607521057
epoch: 9	train ppl: 53.776222040536574	val ppl: 67.93033960818472	best val: 65.87416204441351	time (s) spent in epoch: 159.2184829711914
epoch: 10	train ppl: 50.0037131254104	val ppl: 86.03080391306656	best val: 65.87416204441351	time (s) spent in epoch: 159.02644562721252
epoch: 11	train ppl: 44.14121110709554	val ppl: 52.27379587041342	best val: 52.27379587041342	time (s) spent in epoch: 159.05305075645447
epoch: 12	train ppl: 40.87851659611728	val ppl: 65.52048778106595	best val: 52.27379587041342	time (s) spent in epoch: 159.10035109519958
epoch: 13	train ppl: 39.32669567822644	val ppl: 55.70669018936794	best val: 52.27379587041342	time (s) spent in epoch: 158.93767476081848
epoch: 14	train ppl: 35.1598024258491	val ppl: 52.72385829022568	best val: 52.27379587041342	time (s) spent in epoch: 159.39662957191467
epoch: 15	train ppl: 33.668332970586135	val ppl: 60.955734580151834	best val: 52.27379587041342	time (s) spent in epoch: 159.14888334274292
epoch: 16	train ppl: 32.98661733022494	val ppl: 61.9764511368258	best val: 52.27379587041342	time (s) spent in epoch: 159.44873666763306
epoch: 17	train ppl: 30.732938186932106	val ppl: 61.489843612862735	best val: 52.27379587041342	time (s) spent in epoch: 159.27624130249023
epoch: 18	train ppl: 28.689473987578136	val ppl: 61.38269865391331	best val: 52.27379587041342	time (s) spent in epoch: 159.46601176261902
epoch: 19	train ppl: 27.24310771110827	val ppl: 54.49652984238503	best val: 52.27379587041342	time (s) spent in epoch: 159.24311757087708
epoch: 20	train ppl: 26.438227804255217	val ppl: 49.40226609802017	best val: 49.40226609802017	time (s) spent in epoch: 159.34130883216858
epoch: 21	train ppl: 25.244676776441878	val ppl: 50.71525031876569	best val: 49.40226609802017	time (s) spent in epoch: 159.47849917411804
epoch: 22	train ppl: 24.603420075602195	val ppl: 50.2174249485556	best val: 49.40226609802017	time (s) spent in epoch: 159.3402442932129
epoch: 23	train ppl: 22.82667200739048	val ppl: 56.55780488942472	best val: 49.40226609802017	time (s) spent in epoch: 159.2624089717865
epoch: 24	train ppl: 22.29627620736839	val ppl: 56.9582182840148	best val: 49.40226609802017	time (s) spent in epoch: 159.18992161750793
epoch: 25	train ppl: 22.081126078329156	val ppl: 54.22169675835301	best val: 49.40226609802017	time (s) spent in epoch: 159.37058472633362
epoch: 26	train ppl: 21.545635375263153	val ppl: 52.591335674799964	best val: 49.40226609802017	time (s) spent in epoch: 159.32054901123047
epoch: 27	train ppl: 19.808345433501067	val ppl: 54.45176791202867	best val: 49.40226609802017	time (s) spent in epoch: 159.25819849967957
epoch: 28	train ppl: 18.52342694796606	val ppl: 44.57256541695625	best val: 44.57256541695625	time (s) spent in epoch: 159.30601143836975
epoch: 29	train ppl: 18.016212630501308	val ppl: 48.96534579896711	best val: 44.57256541695625	time (s) spent in epoch: 159.39645051956177
epoch: 30	train ppl: 17.36439758977968	val ppl: 57.53826186529716	best val: 44.57256541695625	time (s) spent in epoch: 159.5167465209961
epoch: 31	train ppl: 16.586706138488914	val ppl: 48.01019193284674	best val: 44.57256541695625	time (s) spent in epoch: 159.31375002861023
epoch: 32	train ppl: 16.634636724007095	val ppl: 48.98756474392147	best val: 44.57256541695625	time (s) spent in epoch: 159.58776378631592
epoch: 33	train ppl: 15.293902489826536	val ppl: 51.34698181397769	best val: 44.57256541695625	time (s) spent in epoch: 159.37385392189026
epoch: 34	train ppl: 15.097700103077045	val ppl: 44.51492108868008	best val: 44.51492108868008	time (s) spent in epoch: 159.2486503124237
epoch: 35	train ppl: 14.533845285096445	val ppl: 50.59271789431453	best val: 44.51492108868008	time (s) spent in epoch: 159.29317784309387
epoch: 36	train ppl: 14.373601631368269	val ppl: 56.20249840086579	best val: 44.51492108868008	time (s) spent in epoch: 159.25321865081787
epoch: 37	train ppl: 14.079389636043818	val ppl: 52.5916076096767	best val: 44.51492108868008	time (s) spent in epoch: 159.44927263259888
epoch: 38	train ppl: 13.553896475999666	val ppl: 49.82060577212709	best val: 44.51492108868008	time (s) spent in epoch: 159.39441585540771
epoch: 39	train ppl: 13.884387194484356	val ppl: 48.82889722034274	best val: 44.51492108868008	time (s) spent in epoch: 159.27647042274475
