epoch: 0	train ppl: 1003.4950341098672	val ppl: 473.3138738333033	best val: 473.3138738333033	time (s) spent in epoch: 448.69860911369324
epoch: 1	train ppl: 434.6817977253374	val ppl: 335.4315470009735	best val: 335.4315470009735	time (s) spent in epoch: 452.6275668144226
epoch: 2	train ppl: 312.6231960319993	val ppl: 261.7842606632834	best val: 261.7842606632834	time (s) spent in epoch: 450.7219982147217
epoch: 3	train ppl: 246.01471633182072	val ppl: 220.2258360598028	best val: 220.2258360598028	time (s) spent in epoch: 451.51707553863525
epoch: 4	train ppl: 203.66052543802044	val ppl: 187.42606549308078	best val: 187.42606549308078	time (s) spent in epoch: 451.52680015563965
epoch: 5	train ppl: 173.52152372805585	val ppl: 166.96371400875557	best val: 166.96371400875557	time (s) spent in epoch: 451.4920723438263
epoch: 6	train ppl: 151.407419126744	val ppl: 150.21159438438426	best val: 150.21159438438426	time (s) spent in epoch: 450.92587304115295
epoch: 7	train ppl: 134.01021436981875	val ppl: 136.03720605999567	best val: 136.03720605999567	time (s) spent in epoch: 450.4359755516052
epoch: 8	train ppl: 120.00440150215604	val ppl: 130.57287597353772	best val: 130.57287597353772	time (s) spent in epoch: 451.243679523468
epoch: 9	train ppl: 108.52509640295412	val ppl: 122.67239951377844	best val: 122.67239951377844	time (s) spent in epoch: 451.22302746772766
epoch: 10	train ppl: 98.8878172752065	val ppl: 116.71229639951618	best val: 116.71229639951618	time (s) spent in epoch: 450.59094285964966
epoch: 11	train ppl: 90.4276094177137	val ppl: 112.98927737240284	best val: 112.98927737240284	time (s) spent in epoch: 450.9787654876709
epoch: 12	train ppl: 83.1936494022026	val ppl: 109.59483180665049	best val: 109.59483180665049	time (s) spent in epoch: 451.29670429229736
epoch: 13	train ppl: 76.69236908335542	val ppl: 108.73205226983347	best val: 108.73205226983347	time (s) spent in epoch: 450.8982021808624
epoch: 14	train ppl: 70.89742520449528	val ppl: 107.02344806940114	best val: 107.02344806940114	time (s) spent in epoch: 450.5754306316376
epoch: 15	train ppl: 65.75582322754502	val ppl: 107.7654047119259	best val: 107.02344806940114	time (s) spent in epoch: 448.9874975681305
epoch: 16	train ppl: 61.112664201359664	val ppl: 107.0492518833854	best val: 107.02344806940114	time (s) spent in epoch: 449.20399355888367
epoch: 17	train ppl: 56.846402231721235	val ppl: 107.24366925698439	best val: 107.02344806940114	time (s) spent in epoch: 449.1762812137604
epoch: 18	train ppl: 52.87785815022743	val ppl: 107.6979406167804	best val: 107.02344806940114	time (s) spent in epoch: 449.47639775276184
epoch: 19	train ppl: 49.44993422357516	val ppl: 107.4729625205995	best val: 107.02344806940114	time (s) spent in epoch: 449.56523847579956
epoch: 20	train ppl: 46.29369507749229	val ppl: 110.6491120136294	best val: 107.02344806940114	time (s) spent in epoch: 449.3501310348511
epoch: 21	train ppl: 43.473402822081695	val ppl: 111.50695735134232	best val: 107.02344806940114	time (s) spent in epoch: 449.3903739452362
epoch: 22	train ppl: 40.845478105448834	val ppl: 113.13652034047418	best val: 107.02344806940114	time (s) spent in epoch: 449.30642461776733
epoch: 23	train ppl: 38.560489623705315	val ppl: 114.71376427521717	best val: 107.02344806940114	time (s) spent in epoch: 449.6300914287567
epoch: 24	train ppl: 36.36488266879833	val ppl: 116.63312938440463	best val: 107.02344806940114	time (s) spent in epoch: 449.4519784450531
epoch: 25	train ppl: 34.42533440617895	val ppl: 116.91498463743933	best val: 107.02344806940114	time (s) spent in epoch: 449.35482907295227
epoch: 26	train ppl: 32.637685699396876	val ppl: 119.01857220892371	best val: 107.02344806940114	time (s) spent in epoch: 449.24528646469116
epoch: 27	train ppl: 31.04987288103791	val ppl: 120.37180875892417	best val: 107.02344806940114	time (s) spent in epoch: 449.22389483451843
epoch: 28	train ppl: 29.56269567823013	val ppl: 123.11255254455027	best val: 107.02344806940114	time (s) spent in epoch: 449.3799936771393
epoch: 29	train ppl: 28.2561723110281	val ppl: 125.64098843246444	best val: 107.02344806940114	time (s) spent in epoch: 449.2113060951233
epoch: 30	train ppl: 26.98787276227268	val ppl: 127.00323739799899	best val: 107.02344806940114	time (s) spent in epoch: 449.3885223865509
epoch: 31	train ppl: 25.908205164104373	val ppl: 128.97246498019584	best val: 107.02344806940114	time (s) spent in epoch: 449.17621517181396
epoch: 32	train ppl: 24.850417626252845	val ppl: 130.7463759847208	best val: 107.02344806940114	time (s) spent in epoch: 449.13940834999084
epoch: 33	train ppl: 23.856096218616052	val ppl: 131.94164671077658	best val: 107.02344806940114	time (s) spent in epoch: 449.1917209625244
epoch: 34	train ppl: 22.974795364543	val ppl: 134.14644123296836	best val: 107.02344806940114	time (s) spent in epoch: 449.3375790119171
epoch: 35	train ppl: 22.178124151359352	val ppl: 135.8001549752593	best val: 107.02344806940114	time (s) spent in epoch: 449.46622014045715
epoch: 36	train ppl: 21.439245746108796	val ppl: 136.5489366705258	best val: 107.02344806940114	time (s) spent in epoch: 449.3546230792999
epoch: 37	train ppl: 20.707544723734948	val ppl: 139.32089083640076	best val: 107.02344806940114	time (s) spent in epoch: 449.5339946746826
epoch: 38	train ppl: 20.089982346890178	val ppl: 140.02444770925146	best val: 107.02344806940114	time (s) spent in epoch: 449.3979506492615
epoch: 39	train ppl: 19.420157649612282	val ppl: 142.12529413410488	best val: 107.02344806940114	time (s) spent in epoch: 449.59391045570374
