epoch: 0	train ppl: 346.74923727354553	val ppl: 189.61921241009497	best val: 189.61921241009497	time (s) spent in epoch: 69.7856502532959
epoch: 1	train ppl: 136.0278012106116	val ppl: 145.69712937389338	best val: 145.69712937389338	time (s) spent in epoch: 69.81236481666565
epoch: 2	train ppl: 90.44934537385855	val ppl: 136.34964771364474	best val: 136.34964771364474	time (s) spent in epoch: 69.85127878189087
epoch: 3	train ppl: 66.6207208529701	val ppl: 138.01210539684445	best val: 136.34964771364474	time (s) spent in epoch: 70.34406447410583
epoch: 4	train ppl: 51.054027344329896	val ppl: 146.20724593121716	best val: 136.34964771364474	time (s) spent in epoch: 70.70704126358032
epoch: 5	train ppl: 40.23486135839959	val ppl: 161.4639393512159	best val: 136.34964771364474	time (s) spent in epoch: 70.70715880393982
epoch: 6	train ppl: 32.05880924053143	val ppl: 180.93521547853112	best val: 136.34964771364474	time (s) spent in epoch: 70.28232741355896
epoch: 7	train ppl: 25.883965960101182	val ppl: 206.05566247150648	best val: 136.34964771364474	time (s) spent in epoch: 69.85978055000305
epoch: 8	train ppl: 21.27958443254997	val ppl: 236.5636016714077	best val: 136.34964771364474	time (s) spent in epoch: 69.83183240890503
epoch: 9	train ppl: 17.743523223528012	val ppl: 271.8363824754723	best val: 136.34964771364474	time (s) spent in epoch: 69.7708945274353
epoch: 10	train ppl: 15.047378178846696	val ppl: 315.3606159718991	best val: 136.34964771364474	time (s) spent in epoch: 69.77270317077637
epoch: 11	train ppl: 12.953345262680998	val ppl: 364.3263529550512	best val: 136.34964771364474	time (s) spent in epoch: 69.79721212387085
epoch: 12	train ppl: 11.331324466518609	val ppl: 419.43175143143446	best val: 136.34964771364474	time (s) spent in epoch: 69.82454490661621
epoch: 13	train ppl: 10.042130353996122	val ppl: 483.0544638242531	best val: 136.34964771364474	time (s) spent in epoch: 69.74627470970154
epoch: 14	train ppl: 8.979331177049701	val ppl: 549.6691466766756	best val: 136.34964771364474	time (s) spent in epoch: 69.7487518787384
epoch: 15	train ppl: 8.118869165514393	val ppl: 631.5574621419985	best val: 136.34964771364474	time (s) spent in epoch: 69.72325539588928
epoch: 16	train ppl: 7.400344087296468	val ppl: 716.3087455069754	best val: 136.34964771364474	time (s) spent in epoch: 69.74617719650269
epoch: 17	train ppl: 6.829665572128205	val ppl: 807.5191790295194	best val: 136.34964771364474	time (s) spent in epoch: 69.74454712867737
epoch: 18	train ppl: 6.3267889604993	val ppl: 930.6341289237687	best val: 136.34964771364474	time (s) spent in epoch: 69.69184303283691
epoch: 19	train ppl: 5.906288955645601	val ppl: 1034.393599310497	best val: 136.34964771364474	time (s) spent in epoch: 69.62809801101685
epoch: 20	train ppl: 5.551386896744344	val ppl: 1164.132465572704	best val: 136.34964771364474	time (s) spent in epoch: 69.59419274330139
epoch: 21	train ppl: 5.246180380812043	val ppl: 1302.2562316812437	best val: 136.34964771364474	time (s) spent in epoch: 69.56882548332214
epoch: 22	train ppl: 4.975655423292665	val ppl: 1433.7441539055153	best val: 136.34964771364474	time (s) spent in epoch: 69.62918257713318
epoch: 23	train ppl: 4.735124052554856	val ppl: 1590.675375538106	best val: 136.34964771364474	time (s) spent in epoch: 69.57197594642639
epoch: 24	train ppl: 4.5288279145382715	val ppl: 1792.3935227925256	best val: 136.34964771364474	time (s) spent in epoch: 69.58861684799194
epoch: 25	train ppl: 4.336889865790518	val ppl: 1951.8496712376775	best val: 136.34964771364474	time (s) spent in epoch: 69.52854752540588
epoch: 26	train ppl: 4.172122199686662	val ppl: 2129.7728632692133	best val: 136.34964771364474	time (s) spent in epoch: 70.01112031936646
epoch: 27	train ppl: 4.017016567504906	val ppl: 2284.0280794436935	best val: 136.34964771364474	time (s) spent in epoch: 70.28581357002258
epoch: 28	train ppl: 3.892658616678192	val ppl: 2540.2797909805713	best val: 136.34964771364474	time (s) spent in epoch: 70.22249388694763
epoch: 29	train ppl: 3.768330090941873	val ppl: 2698.244004044792	best val: 136.34964771364474	time (s) spent in epoch: 70.23449349403381
epoch: 30	train ppl: 3.6507489963424447	val ppl: 2987.546485272259	best val: 136.34964771364474	time (s) spent in epoch: 70.19030284881592
epoch: 31	train ppl: 3.5516417446043764	val ppl: 3178.8131880210854	best val: 136.34964771364474	time (s) spent in epoch: 70.13508319854736
epoch: 32	train ppl: 3.4504648836210383	val ppl: 3534.9500301955295	best val: 136.34964771364474	time (s) spent in epoch: 70.16054582595825
epoch: 33	train ppl: 3.363154447211131	val ppl: 3746.8108430308935	best val: 136.34964771364474	time (s) spent in epoch: 70.14617586135864
epoch: 34	train ppl: 3.2824510014710704	val ppl: 4023.4011808659566	best val: 136.34964771364474	time (s) spent in epoch: 70.16823649406433
epoch: 35	train ppl: 3.2090373419318783	val ppl: 4258.711791883849	best val: 136.34964771364474	time (s) spent in epoch: 70.158047914505
epoch: 36	train ppl: 3.142117677422534	val ppl: 4553.494616546377	best val: 136.34964771364474	time (s) spent in epoch: 70.2055184841156
epoch: 37	train ppl: 3.069037288071752	val ppl: 4942.081712263797	best val: 136.34964771364474	time (s) spent in epoch: 70.13819098472595
epoch: 38	train ppl: 3.017430361414784	val ppl: 5092.692960113649	best val: 136.34964771364474	time (s) spent in epoch: 70.184974193573
epoch: 39	train ppl: 2.9584903037833	val ppl: 5584.318128043454	best val: 136.34964771364474	time (s) spent in epoch: 70.1506359577179
