epoch: 0	train ppl: 75748.48742776051	val ppl: 2349.052729615948	best val: 2349.052729615948	time (s) spent in epoch: 113.68611431121826
epoch: 1	train ppl: 2654.6120109117805	val ppl: 922.1580655494915	best val: 922.1580655494915	time (s) spent in epoch: 115.46720862388611
epoch: 2	train ppl: 1038.5809221050238	val ppl: 703.4515441285624	best val: 703.4515441285624	time (s) spent in epoch: 115.18353414535522
epoch: 3	train ppl: 641.2651820690062	val ppl: 567.5859655714536	best val: 567.5859655714536	time (s) spent in epoch: 115.07409715652466
epoch: 4	train ppl: 499.8292711377138	val ppl: 645.9281267810206	best val: 567.5859655714536	time (s) spent in epoch: 115.10933089256287
epoch: 5	train ppl: 421.76522108407704	val ppl: 419.91214662829344	best val: 419.91214662829344	time (s) spent in epoch: 115.14307236671448
epoch: 6	train ppl: 353.44200600160053	val ppl: 363.9246578703557	best val: 363.9246578703557	time (s) spent in epoch: 115.07517457008362
epoch: 7	train ppl: 293.727286794205	val ppl: 322.3388604922815	best val: 322.3388604922815	time (s) spent in epoch: 115.07853651046753
epoch: 8	train ppl: 255.74531096386357	val ppl: 240.2223789119215	best val: 240.2223789119215	time (s) spent in epoch: 115.06395387649536
epoch: 9	train ppl: 223.29517729564094	val ppl: 276.0461883874868	best val: 240.2223789119215	time (s) spent in epoch: 114.98103857040405
epoch: 10	train ppl: 200.7328160425633	val ppl: 206.70014944987193	best val: 206.70014944987193	time (s) spent in epoch: 114.97051477432251
epoch: 11	train ppl: 181.2960641099258	val ppl: 234.36853212259146	best val: 206.70014944987193	time (s) spent in epoch: 114.86912298202515
epoch: 12	train ppl: 166.65374945114806	val ppl: 217.28685405497814	best val: 206.70014944987193	time (s) spent in epoch: 114.87958884239197
epoch: 13	train ppl: 150.2476185626254	val ppl: 196.62933496212256	best val: 196.62933496212256	time (s) spent in epoch: 114.77680540084839
epoch: 14	train ppl: 138.40362873888125	val ppl: 205.73241171148592	best val: 196.62933496212256	time (s) spent in epoch: 114.76919937133789
epoch: 15	train ppl: 108.08113610486166	val ppl: 158.119215466259	best val: 158.119215466259	time (s) spent in epoch: 114.77763938903809
epoch: 16	train ppl: 85.07233142403699	val ppl: 152.09704755404994	best val: 152.09704755404994	time (s) spent in epoch: 114.77546787261963
epoch: 17	train ppl: 69.1824997947919	val ppl: 144.98410724443593	best val: 144.98410724443593	time (s) spent in epoch: 114.7720468044281
epoch: 18	train ppl: 59.11700017922496	val ppl: 144.75350920354822	best val: 144.75350920354822	time (s) spent in epoch: 114.92175126075745
epoch: 19	train ppl: 53.182930049875594	val ppl: 147.23050685004944	best val: 144.75350920354822	time (s) spent in epoch: 114.825514793396
epoch: 20	train ppl: 49.943668761301005	val ppl: 148.0394596725283	best val: 144.75350920354822	time (s) spent in epoch: 114.87581825256348
epoch: 21	train ppl: 48.34657809093403	val ppl: 147.13414915652837	best val: 144.75350920354822	time (s) spent in epoch: 114.87317299842834
epoch: 22	train ppl: 47.67137299732949	val ppl: 145.89774488450254	best val: 144.75350920354822	time (s) spent in epoch: 114.77059531211853
epoch: 23	train ppl: 47.480636868025236	val ppl: 145.08680298472132	best val: 144.75350920354822	time (s) spent in epoch: 114.77757000923157
epoch: 24	train ppl: 47.410367425119006	val ppl: 144.83274869598085	best val: 144.75350920354822	time (s) spent in epoch: 114.87440633773804
epoch: 25	train ppl: 47.27933561088156	val ppl: 144.7834298212626	best val: 144.75350920354822	time (s) spent in epoch: 114.84970474243164
epoch: 26	train ppl: 47.29042561412797	val ppl: 144.77388993047052	best val: 144.75350920354822	time (s) spent in epoch: 114.89152574539185
epoch: 27	train ppl: 47.259331833298155	val ppl: 144.77265811794175	best val: 144.75350920354822	time (s) spent in epoch: 114.87700891494751
epoch: 28	train ppl: 47.311935146325375	val ppl: 144.77254809666707	best val: 144.75350920354822	time (s) spent in epoch: 114.87337064743042
epoch: 29	train ppl: 47.33112944585452	val ppl: 144.77255672578363	best val: 144.75350920354822	time (s) spent in epoch: 114.77471208572388
epoch: 30	train ppl: 47.32393190437002	val ppl: 144.7725524112253	best val: 144.75350920354822	time (s) spent in epoch: 114.77208399772644
epoch: 31	train ppl: 47.290619058313254	val ppl: 144.7725524112253	best val: 144.75350920354822	time (s) spent in epoch: 114.7746376991272
epoch: 32	train ppl: 47.31011756829533	val ppl: 144.7725524112253	best val: 144.75350920354822	time (s) spent in epoch: 114.79091691970825
epoch: 33	train ppl: 47.36056886089257	val ppl: 144.7725524112253	best val: 144.75350920354822	time (s) spent in epoch: 114.75632381439209
epoch: 34	train ppl: 47.336551389671214	val ppl: 144.7725524112253	best val: 144.75350920354822	time (s) spent in epoch: 114.87578177452087
epoch: 35	train ppl: 47.307836035907194	val ppl: 144.7725524112253	best val: 144.75350920354822	time (s) spent in epoch: 114.86938548088074
epoch: 36	train ppl: 47.339406675548645	val ppl: 144.7725524112253	best val: 144.75350920354822	time (s) spent in epoch: 114.87376546859741
epoch: 37	train ppl: 47.311211430754184	val ppl: 144.7725524112253	best val: 144.75350920354822	time (s) spent in epoch: 114.86603236198425
epoch: 38	train ppl: 47.34819814009344	val ppl: 144.7725524112253	best val: 144.75350920354822	time (s) spent in epoch: 114.88034582138062
epoch: 39	train ppl: 47.32403756589171	val ppl: 144.7725524112253	best val: 144.75350920354822	time (s) spent in epoch: 114.88031005859375
